sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,source_url,downloaded_at,source_sha256,extractor,view,source_fps,source_frames,trim_start,trim_end,used_frames,active_hand,interpolated_hand_frames,raw_hand_frame_ratio,hand_frame_ratio,motion_score,review_overlay
meb_agri_web_10fps_p50,pain,22,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/agri.mp4,processed/meb_health11/landmark46-v1/meb_agri_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,fedbf2391bc990b07f4d993742705f5cebaea22772360953fa40eb7b89e65677,mediapipe-tasks-web,web-10fps-p50,10.0,35,2,27,25,right,0,0.5429,0.76,2.2518,
meb_agri_web_25fps_p0,pain,22,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/agri.mp4,processed/meb_health11/landmark46-v1/meb_agri_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,fedbf2391bc990b07f4d993742705f5cebaea22772360953fa40eb7b89e65677,mediapipe-tasks-web,web-25fps-p0,25.0,87,7,66,59,right,6,0.5402,0.8983,6.3406,
meb_astim_health01,asthma,23,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_02,official_source_permission_unverified,train,meb/astim.mp4,processed/meb_health11/landmark46-v1/meb_astim_health01.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,463fe4aebf943c801b15e2c82b3191eff95269b97b36e630f20ebd01232b759d,mediapipe-holistic-legacy,legacy-25fps,25.0,102,14,86,72,right,1,0.6471,0.9167,5.779,
meb_astim_web_10fps_p0,asthma,23,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_02,official_source_permission_unverified,train,meb/astim.mp4,processed/meb_health11/landmark46-v1/meb_astim_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,463fe4aebf943c801b15e2c82b3191eff95269b97b36e630f20ebd01232b759d,mediapipe-tasks-web,web-10fps-p0,10.0,41,4,36,32,right,0,0.6341,0.8125,4.1078,
meb_astim_web_10fps_p50,asthma,23,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_02,official_source_permission_unverified,train,meb/astim.mp4,processed/meb_health11/landmark46-v1/meb_astim_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,463fe4aebf943c801b15e2c82b3191eff95269b97b36e630f20ebd01232b759d,mediapipe-tasks-web,web-10fps-p50,10.0,41,4,36,32,right,0,0.6341,0.8125,4.108,
meb_astim_web_25fps_p0,asthma,23,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_02,official_source_permission_unverified,train,meb/astim.mp4,processed/meb_health11/landmark46-v1/meb_astim_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,463fe4aebf943c801b15e2c82b3191eff95269b97b36e630f20ebd01232b759d,mediapipe-tasks-web,web-25fps-p0,25.0,102,14,86,72,right,0,0.6471,0.9167,5.0176,
meb_dokuntu_alerji_icin_health01,rash,24,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/dokuntu-alerji-icin.mp4,processed/meb_health11/landmark46-v1/meb_dokuntu_alerji_icin_health01.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,254b3240720fbafc47a3b9d5c2eaad8a8d4e85bedbbb76a74a7f2d1d5ca955b7,mediapipe-holistic-legacy,legacy-25fps,25.0,101,6,70,64,right,20,0.5248,0.9062,10.404,
meb_dokuntu_alerji_icin_web_10fps_p0,rash,24,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/dokuntu-alerji-icin.mp4,processed/meb_health11/landmark46-v1/meb_dokuntu_alerji_icin_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,254b3240720fbafc47a3b9d5c2eaad8a8d4e85bedbbb76a74a7f2d1d5ca955b7,mediapipe-tasks-web,web-10fps-p0,10.0,41,0,30,30,right,10,0.5366,0.8,9.4573,
meb_dokuntu_alerji_icin_web_10fps_p50,rash,24,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/dokuntu-alerji-icin.mp4,processed/meb_health11/landmark46-v1/meb_dokuntu_alerji_icin_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,254b3240720fbafc47a3b9d5c2eaad8a8d4e85bedbbb76a74a7f2d1d5ca955b7,mediapipe-tasks-web,web-10fps-p50,10.0,40,0,30,30,right,11,0.525,0.8,9.9941,
meb_dokuntu_alerji_icin_web_25fps_p0,rash,24,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/dokuntu-alerji-icin.mp4,processed/meb_health11/landmark46-v1/meb_dokuntu_alerji_icin_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,254b3240720fbafc47a3b9d5c2eaad8a8d4e85bedbbb76a74a7f2d1d5ca955b7,mediapipe-tasks-web,web-25fps-p0,25.0,101,6,70,64,left,14,0.5149,0.9062,10.0253,
meb_kalp_carpintisi_health01,palpitations,25,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-carpintisi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_carpintisi_health01.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,514aa2394cd3e7b5c16a50006e5ebd04d925971adbcca6725501f76711815039,mediapipe-holistic-legacy,legacy-25fps,25.0,94,13,65,52,right,1,0.4787,0.8846,3.4527,reports/meb_health11_overlays/kalp-carpintisi.jpg
meb_kalp_carpintisi_web_10fps_p0,palpitations,25,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-carpintisi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_carpintisi_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,514aa2394cd3e7b5c16a50006e5ebd04d925971adbcca6725501f76711815039,mediapipe-tasks-web,web-10fps-p0,10.0,38,4,29,25,right,0,0.5,0.76,2.5381,
meb_kalp_carpintisi_web_10fps_p50,palpitations,25,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-carpintisi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_carpintisi_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,514aa2394cd3e7b5c16a50006e5ebd04d925971adbcca6725501f76711815039,mediapipe-tasks-web,web-10fps-p50,10.0,38,3,28,25,right,0,0.5,0.76,2.4616,
meb_kalp_carpintisi_web_25fps_p0,palpitations,25,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-carpintisi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_carpintisi_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,514aa2394cd3e7b5c16a50006e5ebd04d925971adbcca6725501f76711815039,mediapipe-tasks-web,web-25fps-p0,25.0,94,11,67,56,right,3,0.5,0.8929,4.1194,
meb_kalp_krizi_health01,heart-attack,26,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-krizi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_krizi_health01.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,2b184bc9a18ef81e4e7a333cbe9cea59c118d1d3b428d9090a7310e02e7e9f79,mediapipe-holistic-legacy,legacy-25fps,25.0,101,24,72,48,right,2,0.4059,0.875,2.1639,reports/meb_health11_overlays/kalp-krizi.jpg
meb_kalp_krizi_web_10fps_p0,heart-attack,26,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-krizi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_krizi_web_10fps_p0.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,2b184bc9a18ef81e4e7a333cbe9cea59c118d1d3b428d9090a7310e02e7e9f79,mediapipe-tasks-web,web-10fps-p0,10.0,41,8,31,23,right,1,0.3902,0.7391,2.1342,
meb_kalp_krizi_web_10fps_p50,heart-attack,26,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-krizi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_krizi_web_10fps_p50.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,2b184bc9a18ef81e4e7a333cbe9cea59c118d1d3b428d9090a7310e02e7e9f79,mediapipe-tasks-web,web-10fps-p50,10.0,40,6,29,23,right,1,0.4,0.7391,1.8598,
meb_kalp_krizi_web_25fps_p0,heart-attack,26,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kalp-krizi.mp4,processed/meb_health11/landmark46-v1/meb_kalp_krizi_web_25fps_p0.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,2b184bc9a18ef81e4e7a333cbe9cea59c118d1d3b428d9090a7310e02e7e9f79,mediapipe-tasks-web,web-25fps-p0,25.0,101,20,69,49,right,2,0.4059,0.8776,2.4249,
meb_kanama_health01,bleeding,27,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kanama.mp4,processed/meb_health11/landmark46-v1/meb_kanama_health01.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,9e971b6396e66f96cdeee08c87d8332fb932ca9eced6c071d4b40c28d2973d2a,mediapipe-holistic-legacy,legacy-25fps,25.0,96,16,74,58,right,8,0.4896,0.8966,6.5569,
meb_kanama_web_10fps_p0,bleeding,27,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kanama.mp4,processed/meb_health11/landmark46-v1/meb_kanama_web_10fps_p0.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,9e971b6396e66f96cdeee08c87d8332fb932ca9eced6c071d4b40c28d2973d2a,mediapipe-tasks-web,web-10fps-p0,10.0,39,7,32,25,right,2,0.4872,0.76,5.0565,
meb_kanama_web_10fps_p50,bleeding,27,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kanama.mp4,processed/meb_health11/landmark46-v1/meb_kanama_web_10fps_p50.npz,approved,trainable,true,red_flag,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,9e971b6396e66f96cdeee08c87d8332fb932ca9eced6c071d4b40c28d2973d2a,mediapipe-tasks-web,web-10fps-p50,10.0,38,6,31,25,right,3,0.5,0.76,5.0367,
meb_kanama_web_25fps_p0,bleeding,27,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kanama.mp4,processed/meb_health11/landmark46-v1/meb_kanama_web_25fps_p0.npz,approved,trainable,true,red_flag,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,9e971b6396e66f96cdeee08c87d8332fb932ca9eced6c071d4b40c28d2973d2a,mediapipe-tasks-web,web-25fps-p0,25.0,96,20,74,54,right,3,0.5,0.8889,5.5155,
meb_kusma_health01,vomiting,28,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kusma.mp4,processed/meb_health11/landmark46-v1/meb_kusma_health01.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,001a79f21486588716a0699783c6b220f6386cf2bd393a46b8e887b992878f15,mediapipe-holistic-legacy,legacy-25fps,25.0,74,14,54,40,left,7,0.4459,0.85,5.9583,reports/meb_health11_overlays/kusma.jpg
meb_kusma_web_10fps_p0,vomiting,28,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kusma.mp4,processed/meb_health11/landmark46-v1/meb_kusma_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,001a79f21486588716a0699783c6b220f6386cf2bd393a46b8e887b992878f15,mediapipe-tasks-web,web-10fps-p0,10.0,30,4,23,19,left,5,0.3333,0.6842,3.9856,
meb_kusma_web_10fps_p50,vomiting,28,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kusma.mp4,processed/meb_health11/landmark46-v1/meb_kusma_web_10fps_p50.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,001a79f21486588716a0699783c6b220f6386cf2bd393a46b8e887b992878f15,mediapipe-tasks-web,web-10fps-p50,10.0,30,2,23,21,right,5,0.4667,0.7143,6.2447,
meb_kusma_web_25fps_p0,vomiting,28,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/kusma.mp4,processed/meb_health11/landmark46-v1/meb_kusma_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,001a79f21486588716a0699783c6b220f6386cf2bd393a46b8e887b992878f15,mediapipe-tasks-web,web-25fps-p0,25.0,74,11,53,42,right,13,0.4324,0.8571,6.5425,
meb_seker_hastaligi_health01,seker,14,172,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/seker-hastaligi.mp4,processed/meb_health11/landmark46-v1/meb_seker_hastaligi_health01.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,36adaa24765cfdd17577d3706e1164662938b6a07d06d7fed66dda4f89efcba1,mediapipe-holistic-legacy,legacy-25fps,25.0,89,15,63,48,right,2,0.4607,0.875,2.4258,reports/meb_health11_overlays/seker-hastaligi.jpg
meb_seker_hastaligi_web_10fps_p0,seker,14,172,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/seker-hastaligi.mp4,processed/meb_health11/landmark46-v1/meb_seker_hastaligi_web_10fps_p0.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,36adaa24765cfdd17577d3706e1164662938b6a07d06d7fed66dda4f89efcba1,mediapipe-tasks-web,web-10fps-p0,10.0,36,2,27,25,right,3,0.4722,0.76,4.403,
meb_seker_hastaligi_web_10fps_p50,seker,14,172,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/seker-hastaligi.mp4,processed/meb_health11/landmark46-v1/meb_seker_hastaligi_web_10fps_p50.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,36adaa24765cfdd17577d3706e1164662938b6a07d06d7fed66dda4f89efcba1,mediapipe-tasks-web,web-10fps-p50,10.0,36,4,26,22,left,0,0.4444,0.7273,2.4191,
meb_seker_hastaligi_web_25fps_p0,seker,14,172,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/seker-hastaligi.mp4,processed/meb_health11/landmark46-v1/meb_seker_hastaligi_web_25fps_p0.npz,approved,trainable,true,standard,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,36adaa24765cfdd17577d3706e1164662938b6a07d06d7fed66dda4f89efcba1,mediapipe-tasks-web,web-25fps-p0,25.0,89,15,65,50,left,4,0.4719,0.88,3.6698,
meb_yanik_health01,burn,29,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/yanik.mp4,processed/meb_health11/landmark46-v1/meb_yanik_health01.npz,approved,trainable,true,red_flag,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,6491c5f5bad75ea984a9ba85f8ec966a3fb3a1142555362df597e0a091d476be,mediapipe-holistic-legacy,legacy-25fps,25.0,92,15,70,55,left,11,0.5,0.8909,7.2161,
meb_yanik_web_10fps_p0,burn,29,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/yanik.mp4,processed/meb_health11/landmark46-v1/meb_yanik_web_10fps_p0.npz,approved,trainable,true,red_flag,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,6491c5f5bad75ea984a9ba85f8ec966a3fb3a1142555362df597e0a091d476be,mediapipe-tasks-web,web-10fps-p0,10.0,37,4,32,28,right,8,0.5405,0.7857,6.9938,
meb_yanik_web_10fps_p50,burn,29,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/yanik.mp4,processed/meb_health11/landmark46-v1/meb_yanik_web_10fps_p50.npz,approved,trainable,true,red_flag,needs_review,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,6491c5f5bad75ea984a9ba85f8ec966a3fb3a1142555362df597e0a091d476be,mediapipe-tasks-web,web-10fps-p50,10.0,37,4,30,26,right,8,0.4865,0.7692,5.7991,
meb_yanik_web_25fps_p0,burn,29,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/yanik.mp4,processed/meb_health11/landmark46-v1/meb_yanik_web_25fps_p0.npz,approved,trainable,true,red_flag,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,6491c5f5bad75ea984a9ba85f8ec966a3fb3a1142555362df597e0a091d476be,mediapipe-tasks-web,web-25fps-p0,25.0,92,15,69,54,left,15,0.5109,0.8889,7.5446,
